NAME,TYPE,LOCATION,
"612e2618-076d-4336-b0b3-64ba1d809037 (Workbook 1_map)","Azure Workbook","East US"
"c40c2d54-80fe-4511-acd1-9eaeec93201e (FAILED_RDP_World_Map)","Azure Workbook","West US 2"
"honeypot-vm","Virtual machine","West US 3"
"honeypot-vm-ip","Public IP address","West US 3"
"honeypot-vm-nsg","Network security group","West US 3"
"honeypot-vm-vnet","Virtual network","West US 3"
"honeypot-vm640","Network Interface","West US 3"
"honeypot-vm_disk1_7b22abbc898f464fabaad14c81c95e03","Disk","West US 3"
"law-honeypot","Log Analytics workspace","West US 2"
"Security(law-honeypot)","Solution","West US 2"
"SecurityCenterFree(law-honeypot)","Solution","West US 2"
"SecurityInsights(law-honeypot)","Solution","West US 2"
"SQLAdvancedThreatProtection(law-honeypot)","Solution","West US 2"
"SQLVulnerabilityAssessment(law-honeypot)","Solution","West US 2"
